"ONTOLOGY","GOID","Description","GeneRatio","BgRatio","pvalue","padj","qvalue","geneID","Gene_symbol","Count"
"BP","GO:0042596","fear response","1/35","54/18860",0.095566525614185,0.156599001431853,0.0909294269317834,"1803","DPP4",1
"BP","GO:1990089","response to nerve growth factor","1/35","54/18860",0.095566525614185,0.156599001431853,0.0909294269317834,"3934","LCN2",1
"BP","GO:0033500","carbohydrate homeostasis","2/35","282/18860",0.096090018368083,0.157299360068552,0.0913360911435567,"240/5836","ALOX5/PYGL",2
"BP","GO:0051054","positive regulation of DNA metabolic process","2/35","283/18860",0.0966646505136543,0.157934405012027,0.0917048308689583,"4609/5580","MYC/PRKCD",2
"BP","GO:0009395","phospholipid catabolic process","1/35","55/18860",0.0972497741308023,0.157934405012027,0.0917048308689583,"5580","PRKCD",1
"BP","GO:0010543","regulation of platelet activation","1/35","55/18860",0.0972497741308023,0.157934405012027,0.0917048308689583,"5580","PRKCD",1
"BP","GO:0031100","animal organ regeneration","1/35","55/18860",0.0972497741308023,0.157934405012027,0.0917048308689583,"2950","GSTP1",1
"BP","GO:0042088","T-helper 1 type immune response","1/35","55/18860",0.0972497741308023,0.157934405012027,0.0917048308689583,"3553","IL1B",1
"BP","GO:0043331","response to dsRNA","1/35","55/18860",0.0972497741308023,0.157934405012027,0.0917048308689583,"4792","NFKBIA",1
"BP","GO:0072538","T-helper 17 type immune response","1/35","55/18860",0.0972497741308023,0.157934405012027,0.0917048308689583,"6095","RORA",1
"BP","GO:1900016","negative regulation of cytokine production involved in inflammatory response","1/35","55/18860",0.0972497741308023,0.157934405012027,0.0917048308689583,"4792","NFKBIA",1
"BP","GO:1901888","regulation of cell junction assembly","2/35","285/18860",0.0978169492721922,0.158698063388086,0.0921482501620046,"3553/10280","IL1B/SIGMAR1",2
"BP","GO:0006520","amino acid metabolic process","2/35","286/18860",0.0983946049636899,0.158998255844172,0.0923225573271308,"216/383","ALDH1A1/ARG1",2
"BP","GO:0036230","granulocyte activation","1/35","56/18860",0.0989299792839754,0.158998255844172,0.0923225573271308,"5580","PRKCD",1
"BP","GO:0050819","negative regulation of coagulation","1/35","56/18860",0.0989299792839754,0.158998255844172,0.0923225573271308,"5580","PRKCD",1
"BP","GO:0061756","leukocyte adhesion to vascular endothelial cell","1/35","56/18860",0.0989299792839754,0.158998255844172,0.0923225573271308,"240","ALOX5",1
"BP","GO:0061900","glial cell activation","1/35","56/18860",0.0989299792839754,0.158998255844172,0.0923225573271308,"3553","IL1B",1
"BP","GO:0071385","cellular response to glucocorticoid stimulus","1/35","56/18860",0.0989299792839754,0.158998255844172,0.0923225573271308,"2950","GSTP1",1
"BP","GO:0141156","cAMP/PKA signal transduction","1/35","56/18860",0.0989299792839754,0.158998255844172,0.0923225573271308,"154","ADRB2",1
"BP","GO:1902895","positive regulation of miRNA transcription","1/35","56/18860",0.0989299792839754,0.158998255844172,0.0923225573271308,"4609","MYC",1
"BP","GO:0043488","regulation of mRNA stability","2/35","287/18860",0.0989732576085593,0.158998255844172,0.0923225573271308,"1432/5580","MAPK14/PRKCD",2
"BP","GO:0071695","anatomical structure maturation","2/35","287/18860",0.0989732576085593,0.158998255844172,0.0923225573271308,"231/4057","AKR1B1/LTF",2
"BP","GO:0002686","negative regulation of leukocyte migration","1/35","57/18860",0.100607146414642,0.160833885430439,0.0933884181871115,"1803","DPP4",1
"BP","GO:0002886","regulation of myeloid leukocyte mediated immunity","1/35","57/18860",0.100607146414642,0.160833885430439,0.0933884181871115,"383","ARG1",1
"BP","GO:0031638","zymogen activation","1/35","57/18860",0.100607146414642,0.160833885430439,0.0933884181871115,"5045","FURIN",1
"BP","GO:0048146","positive regulation of fibroblast proliferation","1/35","57/18860",0.100607146414642,0.160833885430439,0.0933884181871115,"4609","MYC",1
"BP","GO:0050805","negative regulation of synaptic transmission","1/35","57/18860",0.100607146414642,0.160833885430439,0.0933884181871115,"3553","IL1B",1
"BP","GO:0051962","positive regulation of nervous system development","2/35","291/18860",0.101297729526139,0.161779886082234,0.093937714774946,"3553/5501","IL1B/PPP1CC",2
"BP","GO:0021695","cerebellar cortex development","1/35","58/18860",0.102281280854651,0.16303257717533,0.0946650915920155,"6095","RORA",1
"BP","GO:0050982","detection of mechanical stimulus","1/35","58/18860",0.102281280854651,0.16303257717533,0.0946650915920155,"4609","MYC",1
"BP","GO:0015850","organic hydroxy compound transport","2/35","294/18860",0.103051287376523,0.164100153147245,0.0952849810577516,"5045/4792","FURIN/NFKBIA",2
"BP","GO:0030837","negative regulation of actin filament polymerization","1/35","59/18860",0.103952387926776,0.164893468058267,0.0957456204588723,"5580","PRKCD",1
"BP","GO:0042304","regulation of fatty acid biosynthetic process","1/35","59/18860",0.103952387926776,0.164893468058267,0.0957456204588723,"3553","IL1B",1
"BP","GO:0071470","cellular response to osmotic stress","1/35","59/18860",0.103952387926776,0.164893468058267,0.0957456204588723,"231","AKR1B1",1
"BP","GO:0072132","mesenchyme morphogenesis","1/35","59/18860",0.103952387926776,0.164893468058267,0.0957456204588723,"4609","MYC",1
"BP","GO:0007131","reciprocal meiotic recombination","1/35","60/18860",0.105620472944731,0.166731643404556,0.0968129595179331,"7153","TOP2A",1
"BP","GO:0019748","secondary metabolic process","1/35","60/18860",0.105620472944731,0.166731643404556,0.0968129595179331,"231","AKR1B1",1
"BP","GO:0042311","vasodilation","1/35","60/18860",0.105620472944731,0.166731643404556,0.0968129595179331,"154","ADRB2",1
"BP","GO:0046324","regulation of D-glucose import","1/35","60/18860",0.105620472944731,0.166731643404556,0.0968129595179331,"1432","MAPK14",1
"BP","GO:0140527","reciprocal homologous recombination","1/35","60/18860",0.105620472944731,0.166731643404556,0.0968129595179331,"7153","TOP2A",1
"BP","GO:0001658","branching involved in ureteric bud morphogenesis","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"4609","MYC",1
"BP","GO:0032387","negative regulation of intracellular transport","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"4792","NFKBIA",1
"BP","GO:0034113","heterotypic cell-cell adhesion","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"3553","IL1B",1
"BP","GO:0035329","hippo signaling","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"1432","MAPK14",1
"BP","GO:0043030","regulation of macrophage activation","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"6095","RORA",1
"BP","GO:0051703","biological process involved in intraspecies interaction between organisms","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"4057","LTF",1
"BP","GO:0060986","endocrine hormone secretion","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"3553","IL1B",1
"BP","GO:0097300","programmed necrotic cell death","1/35","61/18860",0.107285541213184,0.168063570302376,0.0975863447146868,"5836","PYGL",1
"BP","GO:0043542","endothelial cell migration","2/35","302/18860",0.107769032046627,0.168659565449645,0.0979324101218724,"1803/3934","DPP4/LCN2",2
"BP","GO:0043487","regulation of RNA stability","2/35","303/18860",0.10836290916466,0.169265345708538,0.0982841572676654,"1432/5580","MAPK14/PRKCD",2
"BP","GO:0070372","regulation of ERK1 and ERK2 cascade","2/35","303/18860",0.10836290916466,0.169265345708538,0.0982841572676654,"2950/3553","GSTP1/IL1B",2
"BP","GO:0045599","negative regulation of fat cell differentiation","1/35","62/18860",0.108947598027778,0.169547284906997,0.0984478656534856,"6095","RORA",1
"BP","GO:0070613","regulation of protein processing","1/35","62/18860",0.108947598027778,0.169547284906997,0.0984478656534856,"5045","FURIN",1
"BP","GO:0170041","non-proteinogenic amino acid metabolic process","1/35","62/18860",0.108947598027778,0.169547284906997,0.0984478656534856,"216","ALDH1A1",1
"BP","GO:0051338","regulation of transferase activity","2/35","304/18860",0.108957693171754,0.169547284906997,0.0984478656534856,"4057/5292","LTF/PIM1",2
"BP","GO:0061013","regulation of mRNA catabolic process","2/35","305/18860",0.109553378907212,0.170312327892789,0.09889208892209,"1432/5580","MAPK14/PRKCD",2
"BP","GO:0006611","protein export from nucleus","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"3553","IL1B",1
"BP","GO:0006940","regulation of smooth muscle contraction","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"154","ADRB2",1
"BP","GO:0010718","positive regulation of epithelial to mesenchymal transition","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"3553","IL1B",1
"BP","GO:0045453","bone resorption","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"154","ADRB2",1
"BP","GO:0048008","platelet-derived growth factor receptor signaling pathway","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"3553","IL1B",1
"BP","GO:0051785","positive regulation of nuclear division","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"3553","IL1B",1
"BP","GO:0070228","regulation of lymphocyte apoptotic process","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"4609","MYC",1
"BP","GO:0070542","response to fatty acid","1/35","63/18860",0.110606648675135,0.170653236457301,0.0990900379519294,"5580","PRKCD",1
"BP","GO:0000768","syncytium formation by plasma membrane fusion","1/35","64/18860",0.112262698432882,0.172234336770973,0.100008106037481,"1432","MAPK14",1
"BP","GO:0006518","peptide metabolic process","1/35","64/18860",0.112262698432882,0.172234336770973,0.100008106037481,"5045","FURIN",1
"BP","GO:0032615","interleukin-12 production","1/35","64/18860",0.112262698432882,0.172234336770973,0.100008106037481,"1432","MAPK14",1
"BP","GO:0032655","regulation of interleukin-12 production","1/35","64/18860",0.112262698432882,0.172234336770973,0.100008106037481,"1432","MAPK14",1
"BP","GO:0034198","cellular response to amino acid starvation","1/35","64/18860",0.112262698432882,0.172234336770973,0.100008106037481,"5292","PIM1",1
"BP","GO:0140253","cell-cell fusion","1/35","64/18860",0.112262698432882,0.172234336770973,0.100008106037481,"1432","MAPK14",1
"BP","GO:1903532","positive regulation of secretion by cell","2/35","310/18860",0.112545153934936,0.172506008418998,0.10016585255593,"2182/3553","ACSL4/IL1B",2
"BP","GO:0006956","complement activation","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"3553","IL1B",1
"BP","GO:0007215","glutamate receptor signaling pathway","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"154","ADRB2",1
"BP","GO:0015909","long-chain fatty acid transport","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"2181","ACSL3",1
"BP","GO:0030203","glycosaminoglycan metabolic process","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"3553","IL1B",1
"BP","GO:0032757","positive regulation of interleukin-8 production","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"3553","IL1B",1
"BP","GO:0042446","hormone biosynthetic process","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"231","AKR1B1",1
"BP","GO:0045428","regulation of nitric oxide biosynthetic process","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"3553","IL1B",1
"BP","GO:0097352","autophagosome maturation","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"154","ADRB2",1
"BP","GO:2000630","positive regulation of miRNA metabolic process","1/35","65/18860",0.113915752569659,0.173147713051561,0.100538459239019,"4609","MYC",1
"BP","GO:0032623","interleukin-2 production","1/35","66/18860",0.115565816345134,0.174682586663882,0.101429685726448,"3553","IL1B",1
"BP","GO:0032663","regulation of interleukin-2 production","1/35","66/18860",0.115565816345134,0.174682586663882,0.101429685726448,"3553","IL1B",1
"BP","GO:0050688","regulation of defense response to virus","1/35","66/18860",0.115565816345134,0.174682586663882,0.101429685726448,"3553","IL1B",1
"BP","GO:0071384","cellular response to corticosteroid stimulus","1/35","66/18860",0.115565816345134,0.174682586663882,0.101429685726448,"2950","GSTP1",1
"BP","GO:0140632","canonical inflammasome complex assembly","1/35","66/18860",0.115565816345134,0.174682586663882,0.101429685726448,"1432","MAPK14",1
"BP","GO:1901224","positive regulation of non-canonical NF-kappaB signal transduction","1/35","66/18860",0.115565816345134,0.174682586663882,0.101429685726448,"3553","IL1B",1
"BP","GO:0006949","syncytium formation","1/35","67/18860",0.117212895010023,0.176196059808455,0.102308486002659,"1432","MAPK14",1
"BP","GO:0008631","intrinsic apoptotic signaling pathway in response to oxidative stress","1/35","67/18860",0.117212895010023,0.176196059808455,0.102308486002659,"5580","PRKCD",1
"BP","GO:0060675","ureteric bud morphogenesis","1/35","67/18860",0.117212895010023,0.176196059808455,0.102308486002659,"4609","MYC",1
"BP","GO:1903317","regulation of protein maturation","1/35","67/18860",0.117212895010023,0.176196059808455,0.102308486002659,"5045","FURIN",1
"BP","GO:1903670","regulation of sprouting angiogenesis","1/35","67/18860",0.117212895010023,0.176196059808455,0.102308486002659,"240","ALOX5",1
"BP","GO:1990928","response to amino acid starvation","1/35","67/18860",0.117212895010023,0.176196059808455,0.102308486002659,"5292","PIM1",1
"BP","GO:0051402","neuron apoptotic process","2/35","318/18860",0.117377029812961,0.176280915416345,0.10235775752883,"3934/10280","LCN2/SIGMAR1",2
"BP","GO:0008333","endosome to lysosome transport","1/35","68/18860",0.118856993806099,0.177364538614935,0.102986964838945,"154","ADRB2",1
"BP","GO:0035825","homologous recombination","1/35","68/18860",0.118856993806099,0.177364538614935,0.102986964838945,"7153","TOP2A",1
"BP","GO:0040014","regulation of multicellular organism growth","1/35","68/18860",0.118856993806099,0.177364538614935,0.102986964838945,"154","ADRB2",1
"BP","GO:0046847","filopodium assembly","1/35","68/18860",0.118856993806099,0.177364538614935,0.102986964838945,"5580","PRKCD",1
"BP","GO:0072171","mesonephric tubule morphogenesis","1/35","68/18860",0.118856993806099,0.177364538614935,0.102986964838945,"4609","MYC",1
"BP","GO:1903078","positive regulation of protein localization to plasma membrane","1/35","68/18860",0.118856993806099,0.177364538614935,0.102986964838945,"2181","ACSL3",1
"BP","GO:2001244","positive regulation of intrinsic apoptotic signaling pathway","1/35","68/18860",0.118856993806099,0.177364538614935,0.102986964838945,"4609","MYC",1
"BP","GO:0051146","striated muscle cell differentiation","2/35","321/18860",0.119202832407959,0.177718612615509,0.103192558397457,"1432/4609","MAPK14/MYC",2
"BP","GO:0050807","regulation of synapse organization","2/35","322/18860",0.119813072356235,0.178189177155089,0.103465792348677,"1432/10280","MAPK14/SIGMAR1",2
"BP","GO:0001822","kidney development","2/35","323/18860",0.120424123674618,0.178189177155089,0.103465792348677,"231/4609","AKR1B1/MYC",2
"BP","GO:0098813","nuclear chromosome segregation","2/35","323/18860",0.120424123674618,0.178189177155089,0.103465792348677,"5501/7153","PPP1CC/TOP2A",2
"BP","GO:0002707","negative regulation of lymphocyte mediated immunity","1/35","69/18860",0.120498117966208,0.178189177155089,0.103465792348677,"383","ARG1",1
"BP","GO:0043525","positive regulation of neuron apoptotic process","1/35","69/18860",0.120498117966208,0.178189177155089,0.103465792348677,"3934","LCN2",1
"BP","GO:0045744","negative regulation of G protein-coupled receptor signaling pathway","1/35","69/18860",0.120498117966208,0.178189177155089,0.103465792348677,"154","ADRB2",1
"BP","GO:0048645","animal organ formation","1/35","69/18860",0.120498117966208,0.178189177155089,0.103465792348677,"5292","PIM1",1
"BP","GO:0080164","regulation of nitric oxide metabolic process","1/35","69/18860",0.120498117966208,0.178189177155089,0.103465792348677,"3553","IL1B",1
"BP","GO:1905330","regulation of morphogenesis of an epithelium","1/35","69/18860",0.120498117966208,0.178189177155089,0.103465792348677,"3934","LCN2",1
"BP","GO:0002366","leukocyte activation involved in immune response","2/35","325/18860",0.121648640910836,0.17947673108913,0.104213412322596,"26253/6095","CLEC4E/RORA",2
"BP","GO:0001912","positive regulation of leukocyte mediated cytotoxicity","1/35","70/18860",0.122136272714289,0.17947673108913,0.104213412322596,"383","ARG1",1
"BP","GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","1/35","70/18860",0.122136272714289,0.17947673108913,0.104213412322596,"383","ARG1",1
"BP","GO:0006687","glycosphingolipid metabolic process","1/35","70/18860",0.122136272714289,0.17947673108913,0.104213412322596,"5580","PRKCD",1
"BP","GO:0009064","glutamine family amino acid metabolic process","1/35","70/18860",0.122136272714289,0.17947673108913,0.104213412322596,"383","ARG1",1
"BP","GO:0030193","regulation of blood coagulation","1/35","70/18860",0.122136272714289,0.17947673108913,0.104213412322596,"5580","PRKCD",1
"BP","GO:0046888","negative regulation of hormone secretion","1/35","70/18860",0.122136272714289,0.17947673108913,0.104213412322596,"3553","IL1B",1
"BP","GO:0007162","negative regulation of cell adhesion","2/35","326/18860",0.122262097109103,0.179500495935068,0.104227211413283,"383/5580","ARG1/PRKCD",2
"BP","GO:0007566","embryo implantation","1/35","71/18860",0.12377146326538,0.180582785530684,0.104855644364986,"3553","IL1B",1
"BP","GO:0008652","amino acid biosynthetic process","1/35","71/18860",0.12377146326538,0.180582785530684,0.104855644364986,"216","ALDH1A1",1
"BP","GO:0048662","negative regulation of smooth muscle cell proliferation","1/35","71/18860",0.12377146326538,0.180582785530684,0.104855644364986,"2950","GSTP1",1
"BP","GO:0061951","establishment of protein localization to plasma membrane","1/35","71/18860",0.12377146326538,0.180582785530684,0.104855644364986,"2181","ACSL3",1
"BP","GO:1901657","glycosyl compound metabolic process","1/35","71/18860",0.12377146326538,0.180582785530684,0.104855644364986,"231","AKR1B1",1
"BP","GO:1904262","negative regulation of TORC1 signaling","1/35","71/18860",0.12377146326538,0.180582785530684,0.104855644364986,"5292","PIM1",1
"BP","GO:1904263","positive regulation of TORC1 signaling","1/35","71/18860",0.12377146326538,0.180582785530684,0.104855644364986,"5292","PIM1",1
"BP","GO:0002263","cell activation involved in immune response","2/35","329/18860",0.124107198007277,0.180750429838,0.104952987264067,"26253/6095","CLEC4E/RORA",2
"BP","GO:0050803","regulation of synapse structure or activity","2/35","329/18860",0.124107198007277,0.180750429838,0.104952987264067,"1432/10280","MAPK14/SIGMAR1",2
"BP","GO:0030198","extracellular matrix organization","2/35","331/18860",0.125341160795786,0.181991000380827,0.105673326266847,"1803/5045","DPP4/FURIN",2
"BP","GO:0018105","peptidyl-serine phosphorylation","1/35","72/18860",0.12540369482564,0.181991000380827,0.105673326266847,"5580","PRKCD",1
"BP","GO:0141084","inflammasome-mediated signaling pathway","1/35","72/18860",0.12540369482564,0.181991000380827,0.105673326266847,"1432","MAPK14",1
"BP","GO:1900046","regulation of hemostasis","1/35","72/18860",0.12540369482564,0.181991000380827,0.105673326266847,"5580","PRKCD",1
"BP","GO:0043062","extracellular structure organization","2/35","332/18860",0.125959296502432,0.182635401571729,0.106047498710267,"1803/5045","DPP4/FURIN",2
"BP","GO:0045229","external encapsulating structure organization","2/35","333/18860",0.126578195408269,0.183370359188793,0.106474252867878,"1803/5045","DPP4/FURIN",2
"BP","GO:0006893","Golgi to plasma membrane transport","1/35","73/18860",0.127032972592358,0.183380049500608,0.106479879560846,"2181","ACSL3",1
"BP","GO:0031343","positive regulation of cell killing","1/35","73/18860",0.127032972592358,0.183380049500608,0.106479879560846,"383","ARG1",1
"BP","GO:0032272","negative regulation of protein polymerization","1/35","73/18860",0.127032972592358,0.183380049500608,0.106479879560846,"5580","PRKCD",1
"BP","GO:0032722","positive regulation of chemokine production","1/35","73/18860",0.127032972592358,0.183380049500608,0.106479879560846,"3553","IL1B",1
"BP","GO:0072001","renal system development","2/35","334/18860",0.127197852774072,0.183456286335821,0.106524146584732,"231/4609","AKR1B1/MYC",2
"BP","GO:0097193","intrinsic apoptotic signaling pathway","2/35","335/18860",0.127818263874643,0.184188818629218,0.106949492474799,"4609/5580","MYC/PRKCD",2
"BP","GO:0002711","positive regulation of T cell mediated immunity","1/35","74/18860",0.128659301753973,0.18475024295724,0.107275484287938,"3553","IL1B",1
"BP","GO:0002820","negative regulation of adaptive immune response","1/35","74/18860",0.128659301753973,0.18475024295724,0.107275484287938,"383","ARG1",1
"BP","GO:0018209","peptidyl-serine modification","1/35","74/18860",0.128659301753973,0.18475024295724,0.107275484287938,"5580","PRKCD",1
"BP","GO:0032206","positive regulation of telomere maintenance","1/35","74/18860",0.128659301753973,0.18475024295724,0.107275484287938,"4609","MYC",1
"BP","GO:0045670","regulation of osteoclast differentiation","1/35","75/18860",0.130282687490086,0.186590340701024,0.108343939589766,"4057","LTF",1
"BP","GO:1902893","regulation of miRNA transcription","1/35","75/18860",0.130282687490086,0.186590340701024,0.108343939589766,"4609","MYC",1
"BP","GO:2000036","regulation of stem cell population maintenance","1/35","75/18860",0.130282687490086,0.186590340701024,0.108343939589766,"4609","MYC",1
"BP","GO:0002028","regulation of sodium ion transport","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"154","ADRB2",1
"BP","GO:0033627","cell adhesion mediated by integrin","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"1803","DPP4",1
"BP","GO:0048525","negative regulation of viral process","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"4057","LTF",1
"BP","GO:0050818","regulation of coagulation","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"5580","PRKCD",1
"BP","GO:0061614","miRNA transcription","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"4609","MYC",1
"BP","GO:0071260","cellular response to mechanical stimulus","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"3553","IL1B",1
"BP","GO:0072078","nephron tubule morphogenesis","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"4609","MYC",1
"BP","GO:1903053","regulation of extracellular matrix organization","1/35","76/18860",0.131903134971472,0.187598116375586,0.108929105930074,"1803","DPP4",1
"BP","GO:1902105","regulation of leukocyte differentiation","2/35","343/18860",0.13280812470864,0.188721267489621,0.109581265179004,"4057/4609","LTF/MYC",2
"BP","GO:0060562","epithelial tube morphogenesis","2/35","344/18860",0.133435109085733,0.188750693439106,0.109598351397301,"3934/4609","LCN2/MYC",2
"BP","GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway","1/35","77/18860",0.133520649360101,0.188750693439106,0.109598351397301,"2950","GSTP1",1
"BP","GO:0032729","positive regulation of type II interferon production","1/35","77/18860",0.133520649360101,0.188750693439106,0.109598351397301,"3553","IL1B",1
"BP","GO:0045661","regulation of myoblast differentiation","1/35","77/18860",0.133520649360101,0.188750693439106,0.109598351397301,"1432","MAPK14",1
"BP","GO:0050709","negative regulation of protein secretion","1/35","77/18860",0.133520649360101,0.188750693439106,0.109598351397301,"3553","IL1B",1
"BP","GO:0070527","platelet aggregation","1/35","77/18860",0.133520649360101,0.188750693439106,0.109598351397301,"5580","PRKCD",1
"BP","GO:0008202","steroid metabolic process","2/35","345/18860",0.134062800709647,0.189235569734448,0.109879895489314,"231/6095","AKR1B1/RORA",2
"BP","GO:0051251","positive regulation of lymphocyte activation","2/35","346/18860",0.134691195007271,0.189235569734448,0.109879895489314,"1803/3553","DPP4/IL1B",2
"BP","GO:0001937","negative regulation of endothelial cell proliferation","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"240","ALOX5",1
"BP","GO:0019731","antibacterial humoral response","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"4057","LTF",1
"BP","GO:0035019","somatic stem cell population maintenance","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"4609","MYC",1
"BP","GO:0046470","phosphatidylcholine metabolic process","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"2181","ACSL3",1
"BP","GO:0046513","ceramide biosynthetic process","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"5580","PRKCD",1
"BP","GO:0048255","mRNA stabilization","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"1432","MAPK14",1
"BP","GO:0050853","B cell receptor signaling pathway","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"4792","NFKBIA",1
"BP","GO:0071496","cellular response to external stimulus","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"3553","IL1B",1
"BP","GO:0072088","nephron epithelium morphogenesis","1/35","78/18860",0.135135235809145,0.189235569734448,0.109879895489314,"4609","MYC",1
"BP","GO:0060485","mesenchyme development","2/35","347/18860",0.13532028741912,0.189332744021452,0.109936319873563,"3553/4609","IL1B/MYC",2
"BP","GO:0045787","positive regulation of cell cycle","2/35","349/18860",0.136580548415515,0.190676894736736,0.110716802846846,"3553/5292","IL1B/PIM1",2
"BP","GO:0042130","negative regulation of T cell proliferation","1/35","79/18860",0.136746899462998,0.190676894736736,0.110716802846846,"383","ARG1",1
"BP","GO:0043112","receptor metabolic process","1/35","79/18860",0.136746899462998,0.190676894736736,0.110716802846846,"5045","FURIN",1
"BP","GO:0045669","positive regulation of osteoblast differentiation","1/35","79/18860",0.136746899462998,0.190676894736736,0.110716802846846,"4057","LTF",1
"BP","GO:0002704","negative regulation of leukocyte mediated immunity","1/35","80/18860",0.13835564545729,0.191939145435241,0.111449730462028,"383","ARG1",1
"BP","GO:0006022","aminoglycan metabolic process","1/35","80/18860",0.13835564545729,0.191939145435241,0.111449730462028,"3553","IL1B",1
"BP","GO:0051092","positive regulation of NF-kappaB transcription factor activity","1/35","80/18860",0.13835564545729,0.191939145435241,0.111449730462028,"4057","LTF",1
"BP","GO:0072028","nephron morphogenesis","1/35","80/18860",0.13835564545729,0.191939145435241,0.111449730462028,"4609","MYC",1
"BP","GO:0140962","multicellular organismal-level chemical homeostasis","1/35","80/18860",0.13835564545729,0.191939145435241,0.111449730462028,"231","AKR1B1",1
"BP","GO:1904377","positive regulation of protein localization to cell periphery","1/35","80/18860",0.13835564545729,0.191939145435241,0.111449730462028,"2181","ACSL3",1
"BP","GO:0016042","lipid catabolic process","2/35","352/18860",0.13847606255984,0.191943534640523,0.11145227906015,"3553/5580","IL1B/PRKCD",2
"BP","GO:0032720","negative regulation of tumor necrosis factor production","1/35","81/18860",0.139961478918898,0.193674506331561,0.112457370168408,"2950","GSTP1",1
"BP","GO:0061333","renal tubule morphogenesis","1/35","81/18860",0.139961478918898,0.193674506331561,0.112457370168408,"4609","MYC",1
"BP","GO:0002260","lymphocyte homeostasis","1/35","83/18860",0.143164428707905,0.197605539456021,0.114739929993111,"3957","LGALS2",1
"BP","GO:0035914","skeletal muscle cell differentiation","1/35","83/18860",0.143164428707905,0.197605539456021,0.114739929993111,"4609","MYC",1
"BP","GO:0046323","D-glucose import","1/35","83/18860",0.143164428707905,0.197605539456021,0.114739929993111,"1432","MAPK14",1
"BP","GO:0062012","regulation of small molecule metabolic process","2/35","360/18860",0.143559967209277,0.197984554609593,0.114960005666632,"3553/6095","IL1B/RORA",2
"BP","GO:0070373","negative regulation of ERK1 and ERK2 cascade","1/35","84/18860",0.144761555245437,0.199473624525909,0.115824636174579,"2950","GSTP1",1
"BP","GO:0009150","purine ribonucleotide metabolic process","2/35","364/18860",0.146117317138209,0.200489060829065,0.116414250669483,"53343/6095","NUDT9/RORA",2
"BP","GO:0021700","developmental maturation","2/35","364/18860",0.146117317138209,0.200489060829065,0.116414250669483,"231/4057","AKR1B1/LTF",2
"BP","GO:0032370","positive regulation of lipid transport","1/35","85/18860",0.146355789670576,0.200489060829065,0.116414250669483,"3553","IL1B",1
"BP","GO:0035924","cellular response to vascular endothelial growth factor stimulus","1/35","85/18860",0.146355789670576,0.200489060829065,0.116414250669483,"1432","MAPK14",1
"BP","GO:0051149","positive regulation of muscle cell differentiation","1/35","85/18860",0.146355789670576,0.200489060829065,0.116414250669483,"1432","MAPK14",1
"BP","GO:0070227","lymphocyte apoptotic process","1/35","85/18860",0.146355789670576,0.200489060829065,0.116414250669483,"4609","MYC",1
"BP","GO:0170040","proteinogenic amino acid catabolic process","1/35","85/18860",0.146355789670576,0.200489060829065,0.116414250669483,"383","ARG1",1
