Mol_ID,Description,Gene_symbol
MOL000387,Prostaglandin G/H synthase 1,PTGS1
MOL000387,DNA topoisomerase II,TOP2A
MOL000387,Hepatocyte growth factor receptor,MET
MOL000392,Estrogen receptor beta,ESR2
MOL000392,Dipeptidyl peptidase IV,DPP4
MOL000392,Cell division protein kinase 2,CDK2
MOL000392,Glycogen synthase kinase-3 beta,GSK3B
MOL000392,Sodium-dependent serotonin transporter,SLC6A4
MOL000392,cAMP-dependent protein kinase inhibitor alpha,PKIA
MOL000392,Prostaglandin G/H synthase 1,PTGS1
MOL000392,Mitogen-activated protein kinase 14,MAPK14
MOL000392,Estrogen receptor,ESR1
MOL000392,Acetylcholinesterase,ACHE
MOL000392,Amine oxidase [flavin-containing] B,MAOB
MOL000392,Serine/threonine-protein kinase Chk1,CHEK1
MOL000392,Trypsin-1,PRSS1
MOL000392,Cyclin-A2,CCNA2
MOL000392,Beta-2 adrenergic receptor,ADRB2
MOL000392,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 2,HSD3B2
MOL000392,3 beta-hydroxysteroid dehydrogenase/Delta 5-->4-isomerase type 1,HSD3B1
MOL000392,Muscarinic acetylcholine receptor M1,CHRM1
MOL000392,Peroxisome proliferator-activated receptor gamma,PPARG
MOL000392,Androgen receptor,AR
MOL000392,Beta-lactamase,DPEP1
MOL000392,Sodium-dependent dopamine transporter,DAT1
MOL000392,Retinoic acid receptor RXR-alpha,RXRA
MOL000392,Alpha-1A adrenergic receptor,ADRA1A
MOL000392,NADH-ubiquinone oxidoreductase chain 6,COX1
MOL000392,Peroxisome proliferator activated receptor gamma,PPARG
MOL000392,Interleukin-4,IL4
MOL000392,Prostaglandin G/H synthase 2,PTGS2
MOL000417,Prostaglandin G/H synthase 2,PTGS2
MOL000417,Retinoic acid receptor RXR-alpha,RXRA
MOL000417,Beta-2 adrenergic receptor,ADRB2
MOL000417,Dipeptidyl peptidase IV,DPP4
MOL000417,Mitogen-activated protein kinase 14,MAPK14
MOL000417,Estrogen receptor beta,ESR2
MOL000417,Peroxisome proliferator activated receptor gamma,PPARG
MOL000417,Cyclin-A2,CCNA2
MOL000417,Glycogen synthase kinase-3 beta,GSK3B
MOL000417,Cell division protein kinase 2,CDK2
MOL000417,Nuclear receptor coactivator 2,NCOA2
MOL000417,Trypsin-1,PRSS1
MOL000417,Androgen receptor,AR
MOL000417,Serine/threonine-protein kinase Chk1,CHEK1
MOL000417,Prostaglandin G/H synthase 1,PTGS1
MOL000417,Estrogen receptor,ESR1
MOL000422,Nuclear receptor coactivator 2,NCOA2
MOL000422,Intercellular adhesion molecule 1,ICAM1
MOL000422,E-selectin,SELE
MOL000422,Sodium-dependent noradrenaline transporter,SLC6A2
MOL000422,Muscarinic acetylcholine receptor M2,CHRM2
MOL000422,Alpha-1B adrenergic receptor,ADRA1B
MOL000422,Gamma-aminobutyric acid receptor subunit alpha-1,GABRA1
MOL000422,DNA topoisomerase II,TOP2A
MOL000422,Dipeptidyl peptidase IV,DPP4
MOL000422,Cytochrome P450 1A1,CYP1A1
MOL000422,Acetylcholinesterase,ACHE
MOL000422,Activator of 90 kDa heat shock protein ATPase homolog 1,AHSA1
MOL000422,Caspase-3,CASP3
MOL000422,Mitogen-activated protein kinase 8,MAPK8
MOL000422,Xanthine dehydrogenase/oxidase,XDH
MOL000422,Coagulation factor VII,F7
MOL000422,Trypsin-1,PRSS1
MOL000422,Progesterone receptor,PGR
MOL000422,Muscarinic acetylcholine receptor M1,CHRM1
MOL000422,Cytochrome P450 1A2,CYP1A2
MOL000422,Prostaglandin G/H synthase 1,PTGS1
MOL000422,Androgen receptor,AR
MOL000422,Peroxisome proliferator activated receptor gamma,PPARG
MOL000422,Vascular cell adhesion protein 1,VCAM1
MOL000422,Nuclear receptor subfamily 1 group I member 2,NR1I2
MOL000422,Cytochrome P450 1B1,CYP1B1
MOL000422,Arachidonate 5-lipoxygenase,ALOX5
MOL000422,Hyaluronan synthase 2,HAS2
MOL000422,Glutathione S-transferase P,GSTP1
MOL000422,Aryl hydrocarbon receptor,AHR
MOL000422,26S proteasome non-ATPase regulatory subunit 3,PSMD3
MOL000422,Nuclear receptor subfamily 1 group I member 3,NR1I3
MOL000422,Insulin receptor,INSR
MOL000422,Type I iodothyronine deiodinase,DIO1
MOL000422,Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform,PPP3CA
MOL000422,Glutathione S-transferase Mu 1,GSTM1
MOL000422,Glutathione S-transferase Mu 2,GSTM2
MOL000422,Aldo-keto reductase family 1 member C3,AKR1C3
MOL000422,Antileukoproteinase,SLPI
MOL000422,Transcription factor p65,RELA
MOL000422,Inhibitor of nuclear factor kappa-B kinase subunit beta,IKBKB
MOL000422,RAC-alpha serine/threonine-protein kinase,AKT1
MOL000422,Apoptosis regulator Bcl-2,BCL2
MOL000422,Apoptosis regulator BAX,BAX
MOL000422,Tumor necrosis factor,STEAP4
MOL000422,Peroxisome proliferator-activated receptor gamma,PPARG
MOL000422,Interstitial collagenase,MMP1
MOL000422,Prostaglandin G/H synthase 2,PTGS2
MOL000422,Cell division control protein 2 homolog,CDK1
MOL000422,Heme oxygenase 1,HMOX1
MOL000422,Signal transducer and activator of transcription 1-alpha/beta,STAT1
MOL000422,Cytochrome P450 3A4,CYP3A4
MOL000433,Cell division protein kinase 2,CDK2
MOL000433,Glycogen synthase kinase-3 beta,GSK3B
MOL000439,DNA topoisomerase II,TOP2A
MOL000442,Trypsin-1,PRSS1
