Mol_ID,Gene_symbol
MOL000098,PTCH1
MOL000098,KSR1
MOL000098,TNNI3
MOL000098,PTBP2
MOL000098,EFNA4
MOL000098,GIPC2
MOL000098,UCP1
MOL000098,TCF19
MOL000098,TAB3
MOL000098,CASP4
MOL000098,LAD1
MOL000098,SH3D19
MOL000098,NAP1L4
MOL000098,ALOX5
MOL000098,APOBEC3G
MOL000098,NAV2
MOL000098,SERPINA7
MOL000098,VCPIP1
MOL000098,PRKCE
MOL000098,GLDC
MOL000098,MDH1
MOL000098,CD46
MOL000098,LRMDA
MOL000098,MED13
MOL000098,PRP4K
MOL000098,DES
MOL000098,EXOSC9
MOL000098,CUZD1
MOL000098,PRRC2B
MOL000098,RLF
MOL000098,TMEM126B
MOL000098,MYH9
MOL000098,PPCDC
MOL000098,SLC25A1
MOL000098,ARHGDIB
MOL000098,SRSF8
MOL000098,CCNB2
MOL000098,GRIN2A
MOL000098,PPWD1
MOL000098,COMT
MOL000098,TRIM56
MOL000098,METTL18
MOL000098,LAIR2
MOL000098,DRG2
MOL000098,PTGS2
MOL000098,MALT1
MOL000098,ZNRF3
MOL000098,DHX29
MOL000098,CYP3A13
MOL000098,C2CD4A
MOL000098,TMEM50B
MOL000098,GSTZ1
MOL000098,RALBP1
MOL000098,CSN1S1
MOL000098,CRLF1
MOL000098,MYOD1
MOL000098,MET
MOL000098,PPP3CA
MOL000098,HSP27
MOL000098,FPR2
MOL000098,GEM
MOL000098,FOXA1
MOL000098,PLXNC1
MOL000098,CARNMT1
MOL000098,RGPD3
MOL000098,MICB
MOL000098,MASP2
MOL000098,ITPR2
MOL000098,IFNG
MOL000098,MBNL2
MOL000098,MYOF
MOL000098,ITPR1
MOL000098,SEPSECS
MOL000098,BSN
MOL000098,CNNM4
MOL000098,KIF21A
MOL000098,PLCB1
MOL000098,SP5
MOL000098,WDFY1
MOL000098,ZNF561
MOL000098,ORC6
MOL000098,CKM
MOL000098,TXN1
MOL000098,DEK
MOL000098,ZNF189
MOL000098,ISYNA1
MOL000098,DBH-AS1
MOL000098,SLC22A4
MOL000098,RHOC
MOL000098,EDNRB
MOL000098,CD80
MOL000098,FAM162A
MOL000098,UBAP1L
MOL000098,CCT5
MOL000098,COX3
MOL000098,PDSS2
MOL000098,AFDN-DT
MOL000098,COG5
MOL000098,MICAL1
MOL000098,PLTP
MOL000098,AADAT
MOL000098,CAPN1
MOL000098,CDKN2C
MOL000098,OPTN
MOL000098,DKK4
MOL000098,KLHL7
MOL000098,MXI1
MOL000098,ZSWIM5
MOL000098,ZNF30
MOL000098,MGARP
MOL000098,PPP1R1A
MOL000098,TRPV2
MOL000098,AGTR1A
MOL000098,SLC26A2
MOL000098,ATF6B
MOL000098,MPO
MOL000098,SLC25A30
MOL000098,MYCBP2
MOL000098,CFLAR
MOL000098,ANXA5
MOL000098,RNF14
MOL000098,YAE1
MOL000098,RUNX2
MOL000098,PRAG1
MOL000098,ENOSF1
MOL000098,S100A9
MOL000098,LIM2
MOL000098,TST
MOL000098,LPIN1
MOL000098,ELMOD2
MOL000098,SLC20A1
MOL000098,CREBBP
MOL000098,OTUD5
MOL000098,EEF1AKMT3
MOL000098,COX11
MOL000098,PLK
MOL000098,PPARG
MOL000098,OR52X1
MOL000098,ANGPTL8
MOL000098,LMNA
MOL000098,RPL27A
MOL000098,SASH1
MOL000098,CDA
MOL000098,MAPDA
MOL000098,IGFBP3
MOL000433,DYNC1H1
MOL000433,DNASE1L3
MOL000433,PFKFB3
