Mol_ID,Gene_symbol,Description
MOL000296,MAPK14,mitogen-activated protein kinase 14
MOL000296,TNF,tumor necrosis factor
MOL000296,FOXO3,forkhead box O3
MOL000033,AR,androgen receptor
MOL000033,ESR1,estrogen receptor 1
MOL000033,PGR,progesterone receptor
MOL000239,AR,androgen receptor
MOL000239,CA2,carbonic anhydrase 2
MOL000239,CALM3,calmodulin 3
MOL000239,CCNA2,cyclin A2
MOL000239,CDK2,cyclin dependent kinase 2
MOL000239,CHEK1,checkpoint kinase 1
MOL000239,MAPK14,mitogen-activated protein kinase 14
MOL000239,DPP4,dipeptidyl peptidase 4
MOL000239,ESR1,estrogen receptor 1
MOL000239,ESR2,estrogen receptor 2
MOL000239,GSK3B,glycogen synthase kinase 3 beta
MOL000239,NOS2,nitric oxide synthase 2
MOL000239,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000239,PPARG,peroxisome proliferator activated receptor gamma
MOL000239,PRSS1,serine protease 1
MOL000239,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000239,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000239,PTPN1,protein tyrosine phosphatase non-receptor type 1
MOL000239,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL000239,NCOA2,nuclear receptor coactivator 2
MOL000354,IL1B,interleukin 1 beta
MOL000354,BMPR2,bone morphogenetic protein receptor type 2
MOL000354,CASP3,caspase 3
MOL000354,BCL2,BCL2 apoptosis regulator
MOL000354,SMAD1,SMAD family member 1
MOL000354,GABPA,GA binding protein transcription factor subunit alpha
MOL000354,AHR,aryl hydrocarbon receptor
MOL000354,RELA,"RELA proto-oncogene, NF-kB subunit"
MOL000354,CAT,catalase
MOL000354,SOD1,superoxide dismutase 1
MOL000354,ID3,"inhibitor of DNA binding 3, HLH protein"
MOL000354,CHKA,choline kinase alpha
MOL000354,COL1A1,collagen type I alpha 1 chain
MOL000354,LDHB,lactate dehydrogenase B
MOL000354,GPX1,glutathione peroxidase 1
MOL000354,BAX,"BCL2 associated X, apoptosis regulator"
MOL000354,SMAD5,SMAD family member 5
MOL000354,CFTR,CF transmembrane conductance regulator
MOL000354,IL13,interleukin 13
MOL000354,IL6,interleukin 6
MOL000354,ID1,"inhibitor of DNA binding 1, HLH protein"
MOL000354,TNF,tumor necrosis factor
MOL000354,TGFB1,transforming growth factor beta 1
MOL000354,CXCL8,C-X-C motif chemokine ligand 8
MOL000371,ACHE,acetylcholinesterase (Cartwright blood group)
MOL000371,ADRA1D,adrenoceptor alpha 1D
MOL000371,ADRA1B,adrenoceptor alpha 1B
MOL000371,ADRA2C,adrenoceptor alpha 2C
MOL000371,ADRB1,adrenoceptor beta 1
MOL000371,ADRB2,adrenoceptor beta 2
MOL000371,AR,androgen receptor
MOL000371,CA2,carbonic anhydrase 2
MOL000371,CALM3,calmodulin 3
MOL000371,CCNA2,cyclin A2
MOL000371,CDK2,cyclin dependent kinase 2
MOL000371,CHEK1,checkpoint kinase 1
MOL000371,CHRM1,cholinergic receptor muscarinic 1
MOL000371,CHRM3,cholinergic receptor muscarinic 3
MOL000371,MAPK14,mitogen-activated protein kinase 14
MOL000371,DPP4,dipeptidyl peptidase 4
MOL000371,ESR1,estrogen receptor 1
MOL000371,ESR2,estrogen receptor 2
MOL000371,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL000371,GSK3B,glycogen synthase kinase 3 beta
MOL000371,HTR3A,5-hydroxytryptamine receptor 3A
MOL000371,NOS2,nitric oxide synthase 2
MOL000371,OPRM1,opioid receptor mu 1
MOL000371,PDE3A,phosphodiesterase 3A
MOL000371,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000371,PPARG,peroxisome proliferator activated receptor gamma
MOL000371,PRSS1,serine protease 1
MOL000371,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000371,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000371,RXRA,retinoid X receptor alpha
MOL000371,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL000371,NCOA2,nuclear receptor coactivator 2
MOL000380,ACHE,acetylcholinesterase (Cartwright blood group)
MOL000380,ADRA1D,adrenoceptor alpha 1D
MOL000380,ADRA1B,adrenoceptor alpha 1B
MOL000380,ADRB2,adrenoceptor beta 2
MOL000380,AR,androgen receptor
MOL000380,CA2,carbonic anhydrase 2
MOL000380,CALM3,calmodulin 3
MOL000380,CCNA2,cyclin A2
MOL000380,CDK2,cyclin dependent kinase 2
MOL000380,CHEK1,checkpoint kinase 1
MOL000380,CHRM1,cholinergic receptor muscarinic 1
MOL000380,CHRM3,cholinergic receptor muscarinic 3
MOL000380,CHRM4,cholinergic receptor muscarinic 4
MOL000380,CHRNA7,cholinergic receptor nicotinic alpha 7 subunit
MOL000380,MAPK14,mitogen-activated protein kinase 14
MOL000380,DPP4,dipeptidyl peptidase 4
MOL000380,ESR1,estrogen receptor 1
MOL000380,ESR2,estrogen receptor 2
MOL000380,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL000380,GSK3B,glycogen synthase kinase 3 beta
MOL000380,HTR3A,5-hydroxytryptamine receptor 3A
MOL000380,NOS2,nitric oxide synthase 2
MOL000380,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000380,PPARG,peroxisome proliferator activated receptor gamma
MOL000380,PRSS1,serine protease 1
MOL000380,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000380,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000380,RXRA,retinoid X receptor alpha
MOL000380,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL000380,NCOA1,nuclear receptor coactivator 1
MOL000380,NCOA2,nuclear receptor coactivator 2
MOL000387,AR,androgen receptor
MOL000387,CDK2,cyclin dependent kinase 2
MOL000387,DPP4,dipeptidyl peptidase 4
MOL000387,ESR1,estrogen receptor 1
MOL000387,GSK3B,glycogen synthase kinase 3 beta
MOL000387,KDR,kinase insert domain receptor
MOL000387,MET,"MET proto-oncogene, receptor tyrosine kinase"
MOL000387,NOS2,nitric oxide synthase 2
MOL000387,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000387,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000392,MFN2,mitofusin 2
MOL000392,PPARGC1A,PPARG coactivator 1 alpha
MOL000392,EGFR,epidermal growth factor receptor
MOL000392,AHR,aryl hydrocarbon receptor
MOL000392,NFKB1,nuclear factor kappa B subunit 1
MOL000392,CCL5,C-C motif chemokine ligand 5
MOL000392,CASP3,caspase 3
MOL000392,HMOX1,heme oxygenase 1
MOL000392,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
MOL000392,BCL2,BCL2 apoptosis regulator
MOL000392,KEAP1,kelch like ECH associated protein 1
MOL000392,IL4,interleukin 4
MOL000392,SCTR,secretin receptor
MOL000392,GABPA,GA binding protein transcription factor subunit alpha
MOL000392,CCL11,C-C motif chemokine ligand 11
MOL000392,NOS2,nitric oxide synthase 2
MOL000392,MCL1,"MCL1 apoptosis regulator, BCL2 family member"
MOL000392,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000392,IL1B,interleukin 1 beta
