Mol_ID,Gene_symbol,Description
MOL000392,IL6,interleukin 6
MOL000392,TNF,tumor necrosis factor
MOL000392,MYOD1,myogenic differentiation 1
MOL000392,IL17A,interleukin 17A
MOL000417,ADRB2,adrenoceptor beta 2
MOL000417,AR,androgen receptor
MOL000417,CA2,carbonic anhydrase 2
MOL000417,CALM3,calmodulin 3
MOL000417,CCNA2,cyclin A2
MOL000417,CDK2,cyclin dependent kinase 2
MOL000417,CHEK1,checkpoint kinase 1
MOL000417,MAPK14,mitogen-activated protein kinase 14
MOL000417,DPEP1,dipeptidase 1
MOL000417,DPP4,dipeptidyl peptidase 4
MOL000417,ESR1,estrogen receptor 1
MOL000417,ESR2,estrogen receptor 2
MOL000417,GSK3B,glycogen synthase kinase 3 beta
MOL000417,NOS2,nitric oxide synthase 2
MOL000417,PDE3A,phosphodiesterase 3A
MOL000417,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000417,PPARG,peroxisome proliferator activated receptor gamma
MOL000417,PRSS1,serine protease 1
MOL000417,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000417,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000417,RXRA,retinoid X receptor alpha
MOL000417,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL000442,AR,androgen receptor
MOL000442,CCNA2,cyclin A2
MOL000442,CDK2,cyclin dependent kinase 2
MOL000442,CHEK1,checkpoint kinase 1
MOL000442,MAPK14,mitogen-activated protein kinase 14
MOL000442,ESR1,estrogen receptor 1
MOL000442,ESR2,estrogen receptor 2
MOL000442,GSK3B,glycogen synthase kinase 3 beta
MOL000442,NOS2,nitric oxide synthase 2
MOL000442,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000442,PPARG,peroxisome proliferator activated receptor gamma
MOL000442,PRSS1,serine protease 1
MOL000442,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000442,RXRA,retinoid X receptor alpha
MOL000422,ACHE,acetylcholinesterase (Cartwright blood group)
MOL000422,ADRA1B,adrenoceptor alpha 1B
MOL000422,AHR,aryl hydrocarbon receptor
MOL000422,ALOX5,arachidonate 5-lipoxygenase
MOL000422,CA2,carbonic anhydrase 2
MOL000422,CALM3,calmodulin 3
MOL000422,CCNA2,cyclin A2
MOL000422,CDK1,cyclin dependent kinase 1
MOL000422,CDK2,cyclin dependent kinase 2
MOL000422,CHEK1,checkpoint kinase 1
MOL000422,CHRM1,cholinergic receptor muscarinic 1
MOL000422,CHRM2,cholinergic receptor muscarinic 2
MOL000422,CYP1A1,cytochrome P450 family 1 subfamily A member 1
MOL000422,CYP1A2,cytochrome P450 family 1 subfamily A member 2
MOL000422,CYP1B1,cytochrome P450 family 1 subfamily B member 1
MOL000422,CYP3A4,cytochrome P450 family 3 subfamily A member 4
MOL000422,DIO1,iodothyronine deiodinase 1
MOL000422,DPEP1,dipeptidase 1
MOL000422,DPP4,dipeptidyl peptidase 4
MOL000422,ESR1,estrogen receptor 1
MOL000422,ESR2,estrogen receptor 2
MOL000422,F7,coagulation factor VII
MOL000422,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL000422,GSTM1,glutathione S-transferase mu 1
MOL000422,GSTM2,glutathione S-transferase mu 2
MOL000422,GSTP1,glutathione S-transferase pi 1
MOL000422,HAS2,hyaluronan synthase 2
MOL000422,IKBKB,inhibitor of nuclear factor kappa B kinase subunit beta
MOL000422,INSR,insulin receptor
MOL000422,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
MOL000422,MMP1,matrix metallopeptidase 1
MOL000422,NOS2,nitric oxide synthase 2
MOL000422,PGR,progesterone receptor
MOL000422,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000422,POLD1,"DNA polymerase delta 1, catalytic subunit"
MOL000422,PPARG,peroxisome proliferator activated receptor gamma
MOL000422,PPP3CA,protein phosphatase 3 catalytic subunit alpha
MOL000422,PRSS1,serine protease 1
MOL000422,PSMD3,"proteasome 26S subunit, non-ATPase 3"
MOL000422,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000422,SELE,selectin E
MOL000422,SLC2A4,solute carrier family 2 member 4
MOL000422,SLC6A2,solute carrier family 6 member 2
MOL000422,SLPI,secretory leukocyte peptidase inhibitor
MOL000422,STAT1,signal transducer and activator of transcription 1
MOL000422,VCAM1,vascular cell adhesion molecule 1
MOL000422,XDH,xanthine dehydrogenase
MOL000422,AKR1C3,aldo-keto reductase family 1 member C3
MOL000422,NR1I2,nuclear receptor subfamily 1 group I member 2
MOL000422,NR1I3,nuclear receptor subfamily 1 group I member 3
MOL000422,NCOA2,nuclear receptor coactivator 2
MOL000422,AHSA1,activator of HSP90 ATPase activity 1
MOL000354,STAT1,signal transducer and activator of transcription 1
MOL000354,NFKB1,nuclear factor kappa B subunit 1
MOL000354,CCL5,C-C motif chemokine ligand 5
MOL000354,EPHB2,EPH receptor B2
MOL000354,SOD2,superoxide dismutase 2
MOL000354,CSK,C-terminal Src kinase
MOL000354,KEAP1,kelch like ECH associated protein 1
MOL000354,WEE1,WEE1 G2 checkpoint kinase
MOL000354,HMOX1,heme oxygenase 1
MOL000354,TYK2,tyrosine kinase 2
MOL000354,CCL2,C-C motif chemokine ligand 2
MOL000354,AIF1,allograft inflammatory factor 1
MOL000354,TRPC6,transient receptor potential cation channel subfamily C member 6
MOL000354,BMP2,bone morphogenetic protein 2
MOL000354,ITGAM,integrin subunit alpha M
MOL000354,RYR2,ryanodine receptor 2
MOL000354,GTF2H1,general transcription factor IIH subunit 1
MOL000354,MAPK8,mitogen-activated protein kinase 8
MOL000354,TRPC3,transient receptor potential cation channel subfamily C member 3
MOL000378,ADRA1D,adrenoceptor alpha 1D
MOL000378,ADRA1B,adrenoceptor alpha 1B
MOL000378,ADRA1A,adrenoceptor alpha 1A
MOL000378,ADRA2C,adrenoceptor alpha 2C
MOL000378,ADRB1,adrenoceptor beta 1
MOL000378,ADRB2,adrenoceptor beta 2
MOL000378,AR,androgen receptor
MOL000378,CA2,carbonic anhydrase 2
MOL000378,CALM3,calmodulin 3
MOL000378,CCNA2,cyclin A2
MOL000378,CDK2,cyclin dependent kinase 2
MOL000378,CHEK1,checkpoint kinase 1
MOL000378,CHRM1,cholinergic receptor muscarinic 1
MOL000378,CHRM2,cholinergic receptor muscarinic 2
MOL000378,CHRM3,cholinergic receptor muscarinic 3
MOL000378,CHRM4,cholinergic receptor muscarinic 4
MOL000378,CHRM5,cholinergic receptor muscarinic 5
MOL000378,MAPK14,mitogen-activated protein kinase 14
MOL000378,DPP4,dipeptidyl peptidase 4
MOL000378,DRD1,dopamine receptor D1
MOL000378,ESR1,estrogen receptor 1
MOL000378,ESR2,estrogen receptor 2
MOL000378,GABRA1,gamma-aminobutyric acid type A receptor subunit alpha1
MOL000378,GSK3B,glycogen synthase kinase 3 beta
MOL000378,KCNH2,potassium voltage-gated channel subfamily H member 2
MOL000378,NOS2,nitric oxide synthase 2
MOL000378,OPRD1,opioid receptor delta 1
MOL000378,PDE3A,phosphodiesterase 3A
MOL000378,PIM1,"Pim-1 proto-oncogene, serine/threonine kinase"
MOL000378,PPARG,peroxisome proliferator activated receptor gamma
MOL000378,PRSS1,serine protease 1
MOL000378,PTGS1,prostaglandin-endoperoxide synthase 1
MOL000378,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000378,RXRA,retinoid X receptor alpha
MOL000378,RXRB,retinoid X receptor beta
MOL000378,SCN5A,sodium voltage-gated channel alpha subunit 5
MOL000378,SLC6A3,solute carrier family 6 member 3
MOL000378,SLC6A4,solute carrier family 6 member 4
MOL000378,NCOA2,nuclear receptor coactivator 2
MOL000379,CA2,carbonic anhydrase 2
MOL000379,CCNA2,cyclin A2
MOL000379,PTGS2,prostaglandin-endoperoxide synthase 2
MOL000379,NCOA2,nuclear receptor coactivator 2
