Mol_ID,Gene_symbol,Description
MOL000358,ICAM1,intercellular adhesion molecule 1
MOL000358,JUP,junction plakoglobin
MOL000358,LMNA,lamin A/C
MOL000358,MAPT,microtubule associated protein tau
MOL000358,KMT2A,lysine methyltransferase 2A
MOL000358,MTRR,5-methyltetrahydrofolate-homocysteine methyltransferase reductase
MOL000358,NFE2L2,"nuclear factor, erythroid 2 like 2"
MOL000358,NOS1,nitric oxide synthase 1
MOL000358,NOS3,nitric oxide synthase 3
MOL000358,ABCB1,ATP binding cassette subfamily B member 1
MOL000358,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"
MOL000358,PLK1,polo like kinase 1
MOL000358,POR,cytochrome p450 oxidoreductase
MOL000358,PPARD,peroxisome proliferator activated receptor delta
MOL000358,PRKCH,protein kinase C eta
MOL000358,PTPN1,protein tyrosine phosphatase non-receptor type 1
MOL000358,PTPN2,protein tyrosine phosphatase non-receptor type 2
MOL000358,PTPN6,protein tyrosine phosphatase non-receptor type 6
MOL000358,PTPN7,protein tyrosine phosphatase non-receptor type 7
MOL000358,PTPN11,protein tyrosine phosphatase non-receptor type 11
MOL000358,RDH5,retinol dehydrogenase 5
MOL000358,REN,renin
MOL000358,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase"
MOL000358,HSD17B8,hydroxysteroid 17-beta dehydrogenase 8
MOL000358,RDH16,retinol dehydrogenase 16
MOL000358,HSD17B6,hydroxysteroid 17-beta dehydrogenase 6
MOL000358,AKR1C3,aldo-keto reductase family 1 member C3
MOL000358,CES2,carboxylesterase 2
MOL000358,DHRS2,dehydrogenase/reductase 2
MOL000358,SLCO1B1,solute carrier organic anion transporter family member 1B1
MOL000358,DHRS4,dehydrogenase/reductase 4
MOL000358,DHRS7B,dehydrogenase/reductase 7B
MOL000358,DECR2,"2,4-dienoyl-CoA reductase 2"
MOL000358,NDOR1,NADPH dependent diflavin oxidoreductase 1
MOL000358,SLCO1B3,solute carrier organic anion transporter family member 1B3
MOL000358,RDH8,retinol dehydrogenase 8
MOL000358,GMNN,geminin DNA replication inhibitor
MOL000358,RDH11,retinol dehydrogenase 11
MOL000358,HSD17B11,hydroxysteroid 17-beta dehydrogenase 11
MOL000358,HSD17B14,hydroxysteroid 17-beta dehydrogenase 14
MOL000358,POLK,DNA polymerase kappa
MOL000358,EGLN1,egl-9 family hypoxia inducible factor 1
MOL000358,P4HTM,"prolyl 4-hydroxylase, transmembrane"
MOL000358,TYW1,tRNA-yW synthesizing protein 1 homolog
MOL000358,TDP1,tyrosyl-DNA phosphodiesterase 1
MOL000358,PECR,peroxisomal trans-2-enoyl-CoA reductase
MOL000358,BDH2,3-hydroxybutyrate dehydrogenase 2
MOL000358,AKR1B10,aldo-keto reductase family 1 member B10
MOL000358,RDH14,retinol dehydrogenase 14
MOL000358,DHRS12,dehydrogenase/reductase 12
MOL000358,HSDL2,hydroxysteroid dehydrogenase like 2
MOL000358,CBR4,carbonyl reductase 4
MOL000358,EGLN2,egl-9 family hypoxia inducible factor 2
MOL000358,EGLN3,egl-9 family hypoxia inducible factor 3
MOL000358,RDH13,retinol dehydrogenase 13
MOL000358,DHRS1,dehydrogenase/reductase 1
MOL000358,SDR9C7,short chain dehydrogenase/reductase family 9C member 7
MOL000358,RDH12,retinol dehydrogenase 12
MOL000358,PTGR2,prostaglandin reductase 2
MOL000358,DHRS13,dehydrogenase/reductase 13
MOL000358,RDH10,retinol dehydrogenase 10
MOL000358,SDR16C5,short chain dehydrogenase/reductase family 16C member 5
MOL000358,DHRS7C,dehydrogenase/reductase 7C
MOL000358,DHRSX,dehydrogenase/reductase X-linked
MOL000358,DHRS4L2,dehydrogenase/reductase 4 like 2
