Mol_ID,Gene_symbol
MOL000422,NFKBIA
MOL000422,SELE
MOL000422,HMOX1
MOL000422,BAX
MOL000422,DIO1
MOL000422,CAT
MOL000422,CYP1A1
MOL000422,SYK
MOL000422,MYLK3
MOL000422,ICAM1
MOL000422,ADAM8
MOL000422,PTGS2
MOL000422,CDK1
MOL000422,BTK
MOL000422,STAT3
MOL000422,MIR21
MOL000422,STAT1
MOL000422,CYP3A4
MOL000422,VCAM1
MOL000422,MMP1
MOL000422,BIRC2
MOL000422,ITGB3
MOL000422,NR1I3
MOL000422,MAPK14
MOL000422,BMPR2
MOL000422,TNF
MOL000422,XDH
MOL000422,GPER1
MOL000422,BIRC3
MOL000422,MCU
MOL000422,BCL2
MOL000422,LYN
MOL000422,PARK7
MOL000422,FOXP3
MOL000422,CXCL8
MOL000422,RPS6KA3
MOL000422,TJP1
MOL000422,MMGT1
MOL000422,AKT1
MOL000422,HSP90AA1
MOL000422,CASP3
MOL000422,MMP9
MOL000422,PLEK
MOL000422,SLC11A2
MOL000422,CDK2
MOL000422,ESRRA
MOL000422,PPARG
MOL000449,GABRQ
MOL000449,CACNG7
MOL000449,RORA
MOL000449,CACNG5
MOL000449,CACNB1
MOL000449,CYP27B1
MOL000449,GABRA2
MOL000449,CACNA2D3
MOL000449,GABRA4
MOL000449,CACNG1
MOL000449,CACNG3
MOL000449,CACNA1D
MOL000449,SULT2B1
MOL000449,GRIN2C
MOL000449,GRIN2B
MOL000449,GABRG2
MOL000449,GABRG1
MOL000449,CACNA1I
MOL000449,AR
MOL000449,NR1H3
MOL000449,CLEC4E
MOL000449,APP
MOL000449,NR1H4
MOL000449,ESR1
MOL000449,CACNA1C
MOL000449,CACNA1G
MOL000449,CACNB3
MOL000449,CACNG6
MOL000449,GRIN1
MOL000449,CACNB4
MOL000449,VDR
MOL000449,CACNA2D2
MOL000449,GABRA6
MOL000449,GRIN2A
MOL000449,GABRA1
MOL000449,ABCG8
MOL000449,NPC1L1
MOL000449,GABRE
MOL000449,GABRG3
MOL000449,CACNG4
MOL000449,ABCC2
MOL000449,CACNA1S
MOL000449,SIGMAR1
MOL000449,GABRD
MOL000449,CACNG2
MOL000449,NR1I2
MOL000449,CACNA1H
MOL000449,PPARA
MOL000449,ABCB11
MOL000449,AKT1
MOL000449,CACNA1A
MOL000449,GABRB1
MOL000449,GABRA3
MOL000449,GRIN3B
MOL000449,GABRB3
MOL000449,CACNA2D1
MOL000449,GRIN3A
MOL000449,NR1I3
MOL000449,GABRP
MOL000449,CACNB2
MOL000449,GABRB2
MOL000449,RXRA
MOL000449,ABCG5
MOL000449,CACNA1F
MOL000449,CACNG8
MOL000449,CACNA1B
MOL000449,CACNA1E
MOL000449,THRB
MOL000449,SOAT1
MOL000449,CACNA2D4
MOL000449,GRIN2D
MOL000449,ESR2
MOL000449,GABRA5
MOL000449,TLR4
MOL000449,BACE1
MOL000449,NR1H2
MOL000449,ANPEP
MOL000492,FASN
MOL000492,PPARG
MOL000492,DHFR
MOL000492,KLF7
MOL000497,PPARG
MOL000497,APOA2
MOL000497,ABCC4
MOL000497,ABCB6
MOL000497,GSTP1
MOL000497,ABCC5
MOL000497,MAPK1
MOL000497,ITGAM
MOL000497,FOSL2
MOL000497,STAT3
MOL000497,CBR1
MOL000497,BCL2
MOL000497,VDR
MOL000497,AKR1C3
MOL000500,DGKA
MOL000500,ALOX15B
MOL000500,ALOX5
MOL000500,PRKCA
MOL000500,SEC14L4
MOL000500,CHGA
MOL000500,NR1I2
MOL000500,SEC14L3
MOL000500,PPP2CB
MOL000500,ALOX5AP
MOL000500,PPP2CA
MOL000500,SEC14L2
MOL000500,ALOX12
MOL000500,PRKCB
MOL001484,HSP90AA1
MOL001792,CNR1
MOL001792,CNR2
MOL001919,TWIST1
MOL001919,PPP3R2
MOL001919,CAMLG
MOL001919,PPP3R1
MOL001919,PPIF
MOL001919,PPIA
MOL001924,MMP9
MOL001924,PTGS2
MOL001924,APP
MOL001924,ABCB1
MOL001924,PRKAA2
MOL001924,PRKAB1
MOL001924,AKT1
MOL001924,IL6
MOL001924,PRKAA1
MOL001924,NEDD4L
MOL001924,MAPK8
MOL001924,IGF1
MOL001924,STK11
MOL001924,CD14
MOL001924,CYBB
MOL001924,MAPK14
MOL001924,STAT3
MOL001924,IL1B
MOL001924,ICAM1
MOL001924,SHH
MOL001924,TNF
MOL001924,MAPK1
MOL001924,SOCS3
MOL001924,SNCA
MOL001924,VEGFA
MOL001924,LBP
MOL001924,HIF1A
MOL001924,IRAK1
MOL001924,CREB1
MOL001924,MITF
MOL001924,MAP3K5
MOL001924,MIR29B1
MOL001924,HSPA4
MOL001924,BGLAP
MOL001924,TYRP1
MOL001924,NFKB1
MOL001924,NOX4
MOL002311,PPP3CA
MOL002565,SEC14L3
MOL002565,ALOX5
MOL002565,ALOX15B
MOL002565,CHGA
MOL002565,NR1I2
MOL002565,ALOX12
MOL002565,ALOX5AP
MOL002565,PRKCB
MOL002565,PRKCA
MOL002565,PPP2CA
MOL002565,DGKA
MOL002565,PPP2CB
MOL002565,SEC14L4
MOL002565,SEC14L2
MOL004328,FOS
MOL004328,NR1H3
MOL004328,ATF3
MOL004328,MRC1
MOL004328,CYP2C19
MOL004328,JUN
MOL004328,ICMT
MOL004328,PTEN
MOL004328,AKT1
MOL004328,CNR2
MOL004328,NLRP3
