Mol_ID,Gene_symbol
MOL000497,LATS1
MOL000497,UGT1A6
MOL000497,CYP2C8
MOL000497,UGT2B15
MOL000497,IL1B
MOL000497,CYP1B1
MOL000497,UGT1A9
MOL000497,CDKN1A
MOL000497,CYP1A2
MOL000497,UGT1A8
MOL000497,UGT1A7
MOL004841,MIR760
MOL004841,MIR7977
MOL004841,MIR874
MOL004841,MIR92A1
MOL004841,MIR7974
MOL004841,RNF103-CHMP3
MOL004841,H2BC17
MOL004841,H2BC18
MOL004841,H2BC8
MOL004841,H2BC9
MOL004841,H2BC6
MOL004841,H2BC7
MOL004841,ADAT3
MOL004841,H2BC4
MOL004841,MIR675
MOL004841,ADAP1
MOL004841,MIR451A
MOL004841,MIR4521
MOL004841,MIR4488
MOL004841,MIR4508
MOL004841,ALG9
MOL004841,ALKAL2
MOL004841,MIR484
MOL004841,H3C1
MOL004841,ADM
MOL004841,ADRA1D
MOL004841,ADGRG3
MOL004841,ADAMTS5
MOL004841,AFMID
MOL004841,AGL
MOL004841,ADRA2B
MOL004841,ADGRL2
MOL004841,ALDH1A1
MOL004841,H2BC11
MOL004841,H2BC12
MOL004841,ADRB2
MOL004841,MIR4449
MOL004841,MIR4454
MOL004841,ABCA1
MOL004841,H2BC14
MOL004841,ABCA8
MOL004841,ABCB4
MOL004841,ACHE
MOL004841,ABCA10
MOL004841,H2BC5
MOL004841,ACTN3
MOL004841,BCL2
MOL004841,BEX2
MOL004841,BICDL2
MOL004841,AURKC
MOL004841,AZU1
MOL004841,B3GNT4
MOL004841,B4GALNT3
MOL004841,BAG3
MOL004841,BAIAP2
MOL004841,BAIAP3
MOL004841,AKAP5
MOL004841,AKR1B10
MOL004841,BBC3
MOL004841,BTN3A1
MOL004841,C10ORF95
MOL004841,C11ORF86
MOL004841,C13ORF46
MOL004841,C1QL3
MOL004841,C1QTNF4
MOL004841,C5AR2
MOL004841,CABP7
MOL004841,CACNA2D2
MOL004841,CACNB2
MOL004841,BAMBI
MOL004841,BAX
MOL004841,ACTA1
MOL004841,CASP14
MOL004841,CASP3
MOL004841,CASP8
MOL004841,CASS4
MOL004841,CATSPERG
MOL004841,CBARP
MOL004841,CBX4
MOL004841,CCDC13
MOL004841,CCDC148
MOL004841,CCDC194
MOL004841,CALB2
MOL004841,ACSBG1
MOL004841,CCDC9
MOL004841,CCM2L
MOL004841,CCN1
MOL004841,CCN2
MOL004841,CCNA2
MOL004841,BIK
MOL004841,BIRC5
MOL004841,BLVRB
MOL004841,BMPER
MOL004841,BPGM
MOL004841,BRMS1
MOL004841,CCDC68
MOL004841,CCDC74B
MOL004841,CDC25A
MOL004841,CDC25B
MOL004841,CDC34
MOL004841,CDC42EP2
MOL004841,CDH23
MOL004841,CDK1
MOL004841,CDK11A
MOL004841,CDK2
MOL004841,CDK2AP2
MOL004841,CDK5R1
MOL004841,CDK5R2
MOL004841,CDKN1A
MOL004841,CDKN1B
MOL004841,CARD9
MOL004841,CARF
MOL004841,MIR5100
MOL004841,MIR548U
MOL004841,MIR576
MOL004841,MIR615
MOL004841,MIR663A
MOL004841,MIR671
MOL004841,CFAP99
MOL004841,CFP
MOL004841,MIR7704
MOL004841,CHCHD7
MOL004841,CHEK2
MOL004841,CHRM3
MOL004841,CHRM4
MOL004841,MIR96
MOL004841,MIRLET7C
MOL004841,MIRLET7E
MOL004841,MKRN2OS
MOL004841,MN1
MOL004841,ALOX12
MOL004841,ALOXE3
MOL004841,ANG
MOL004841,ANKRD1
MOL004841,AP3B2
MOL004841,AP5Z1
MOL004841,APBB1
MOL004841,APOBR
MOL004841,APOE
MOL004841,ARC
MOL004841,ARHGEF33
MOL004841,ARL4C
MOL004841,ARL4D
MOL004841,ARL6IP4
MOL004841,ARNT2
MOL004841,ARPIN
MOL004841,ASIC4
MOL004841,ASNS
MOL004841,ATCAY
MOL004841,ATF3
MOL004841,CDKN1C
MOL004841,CDKN2D
MOL004841,ATP13A4
MOL004841,ATP1A3
MOL004841,ATP6V0C
MOL004841,ATP8
MOL004841,ATP9A
MOL004841,RHCE
MOL004841,RIBC2
MOL004841,RIPOR3
MOL004841,RND1
MOL004841,MAPK9
MOL004841,RNF150
MOL004841,RNF19B
MOL004841,RNF225
MOL004841,RNF227
MOL004841,RNF31
MOL004841,H3C10
MOL004841,H3C13
MOL004841,H3C7
MOL004841,H3C8
MOL004841,H4C1
MOL004841,H4C14
MOL004841,H4C3
MOL004841,H4C4
MOL004841,H4C5
MOL004841,BST1
MOL004841,BTBD8
MOL004841,BTG2
MOL004841,BTLA
MOL004841,HAS1
MOL004841,HAS3
MOL004841,HBA1
MOL004841,HBEGF
MOL004841,HERPUD1
MOL004841,HES6
MOL004841,HES7
MOL004841,HIC2
MOL004841,HIPK4
MOL004841,HMOX1
MOL004841,HOMER2
MOL004841,HOXC4
MOL004841,HPX
MOL004841,HSPA1A
MOL004841,HSPA1B
MOL004841,HSPA1L
MOL004841,HSPA6
MOL004841,HSPA8
MOL004841,HSPB8
MOL004841,HSPB9
MOL004841,HSPH1
MOL004841,HUS1B
MOL004841,ID2
MOL004841,IER5
MOL004841,IER5L
MOL004841,IFI30
MOL004841,IFIH1
MOL004841,IGFL4
MOL004841,IGSF11
MOL004841,IL17REL
MOL004841,CCNB1
MOL004841,CCNE1
MOL004841,CCNP
MOL004841,CD14
MOL004841,CD247
MOL004841,CD27
MOL004841,CD4
MOL004841,CD79A
MOL004841,INSM2
MOL004841,IRF7
MOL004841,IRGC
MOL004841,JMJD6
MOL004841,JPH4
MOL004841,JUN
MOL004841,JUNB
MOL004841,JUND
MOL004841,KANK3
MOL004841,KBTBD8
MOL004841,KCNB1
MOL004841,KCNG2
MOL004841,KCNH5
MOL004841,KCNK3
MOL004841,KCNK4
MOL004841,KCTD5
MOL004841,KDF1
MOL004841,KIAA0825
MOL004841,KIF5A
MOL004841,KIRREL2
MOL004841,KLF2
MOL004841,KLF4
MOL004841,KLHL13
MOL004841,KLHL21
MOL004841,KLHL25
MOL004841,KNDC1
MOL004841,KRBA2
MOL004841,KRT16
MOL004841,LAG3
MOL004841,LDLRAD2
MOL004841,LDLRAD4
MOL004841,LENG1
MOL004841,LGALS4
MOL004841,LGI4
MOL004841,LGSN
MOL004841,LHB
MOL004841,LINC03040
MOL004841,LNX1
MOL004841,LRFN1
MOL004841,LRGUK
MOL004841,LRRC15
MOL004841,LRRC43
MOL004841,LRRC8A
MOL004841,LRRIQ3
MOL004841,LRRN4
MOL004841,LSMEM1
MOL004841,LTBP1
MOL004841,LY6G6C
MOL004841,MAFA
MOL004841,MAFB
MOL004841,MAFF
MOL004841,MAGEB3
MOL004841,MAML2
MOL004841,ATG9B
MOL004841,ATM
MOL004841,H2AC21
MOL004841,H2AC8
MOL004841,H2AX
MOL004841,RGS16
MOL004841,RGS9BP
MOL004841,MAPK1
MOL004841,MAPK3
MOL004841,MAPK8
MOL004841,MAPK8IP1
MOL004841,NEURL1B
MOL004841,MARCHF1
MOL004841,MARCKSL1
MOL004841,MARCOL
MOL004841,MASP1
MOL004841,MC5R
MOL004841,MCOLN1
MOL004841,MDFI
MOL004841,MDGA1
MOL004841,MEIS1
MOL004841,MEOX1
MOL004841,METRNL
MOL004841,MEX3A
MOL004841,MEX3B
MOL004841,MEX3D
MOL004841,H4C9
MOL004841,HAMP
MOL004841,HAPLN2
MOL004841,HAPLN3
MOL004841,MIR1248
MOL004841,MIR125B1
MOL004841,MIR126
MOL004841,MIR1260A
MOL004841,MIR1260B
MOL004841,MIR1268A
MOL004841,MIR1268B
MOL004841,MIR127
MOL004841,MIR1277
MOL004841,MIR1290
