Mol_ID,Gene_symbol
MOL001659,SLC6A4
MOL001659,ACHE
MOL001659,NR1I3
MOL001659,PTGER1
MOL001659,PTGER2
MOL001659,TBXAS1
MOL001659,PTGES
MOL001659,NR1H2
MOL001659,PPARA
MOL001659,PPARD
MOL001659,SQLE
MOL001659,VDR
MOL001659,DHCR7
MOL001659,PTPN6
MOL001659,PTPN2
MOL001659,FDFT1
MOL001659,HSD11B1
MOL001659,NOS2
MOL001659,PPARG
MOL001659,GLRA1
MOL001659,UGT2B7
MOL001659,POLB
MOL007475,IL2
MOL007475,STAT3
MOL007475,PTAFR
MOL007475,PSEN2
MOL007475,HSP90AA1
MOL007475,BCL2L1
MOL007475,VEGFA
MOL007475,FGF1
MOL007475,FGF2
MOL007475,HPSE
MOL007475,RORC
MOL007475,ATP1A1
MOL007475,MET
MOL007475,LGALS4
MOL007475,LGALS3
MOL007475,LGALS8
MOL007093,IDO1
MOL007093,PYGL
MOL007093,AR
MOL007093,MAPK14
MOL007093,PDE7A
MOL007093,GPR139
MOL007093,HTR6
MOL007093,ADORA1
MOL007093,ADORA2A
MOL007093,ADORA3
MOL007093,BDKRB1
MOL007093,GRIN2A
MOL007093,CNR1
MOL007093,CNR2
MOL007093,GRIA2
MOL007093,PDE2A
MOL007093,MAP2K1
MOL007093,PDE10A
MOL007093,DRD2
MOL007093,PSEN2
MOL007093,PIN1
MOL007093,CDK5R1
MOL007093,ABCC9
MOL007093,CDK2
MOL007093,PIM1
MOL007093,DYRK1A
MOL007093,PIM2
MOL007093,CRHR1
MOL007093,HMGCR
MOL007093,ALPL
MOL007093,CASP3
MOL007093,CASP7
MOL007093,HSP90AB1
MOL007093,FAAH
MOL007093,HSD11B1
MOL007093,HTR2A
MOL007093,JAK1
MOL007093,JAK2
MOL007093,P2RX7
MOL007093,CFD
MOL007093,SYK
MOL007093,GRM5
MOL007093,FKBP1A
MOL007093,SORD
MOL007093,PRKCD
MOL007093,PRKCA
MOL007093,P2RX3
MOL007093,PARP1
MOL007093,PRKDC
MOL007093,PIK3CB
MOL007093,GABRA5
MOL007093,TUBB1
MOL007093,PDE4A
MOL007093,CTSK
MOL007093,AMPD3
MOL007093,CCR1
MOL007093,PTGS2
MOL007093,PDE9A
MOL007093,MAP3K5
MOL007093,JAK3
MOL007093,CXCR2
MOL007093,NTRK1
MOL007093,PREP
MOL007093,KIF11
MOL007093,FAP
MOL007093,CX3CR1
MOL007093,TSPO
MOL007093,LRRK2
MOL007093,EGFR
MOL007093,ADORA2B
MOL007093,GSK3B
MOL007093,GSK3A
MOL007093,CDK1
MOL007093,CDK5
MOL007093,TK2
MOL007093,PIK3CD
MOL007093,PIK3CG
MOL007093,MERTK
MOL007093,CCND1
MOL007093,CCNE2
MOL007093,CTSD
MOL007093,ADCY1
MOL007093,CTSS
MOL007093,BACE1
MOL007093,BRD4
MOL007093,BRD2
MOL007093,BRD3
MOL007093,KCNK3
MOL007093,DDAH1
MOL007093,MTNR1A
MOL007093,MTNR1B
MOL007093,ELANE
MOL007093,ERBB2
MOL007093,PLAT
MOL007093,F2
MOL007093,PRSS1
MOL007093,HTR1A
MOL007093,F10
MOL007093,F11
MOL007093,REN
MOL007094,HMOX1
MOL007094,KCNK2
MOL007094,PGR
MOL007094,ADORA1
MOL007094,ADORA2A
MOL007094,FADS1
MOL007094,RIPK2
MOL007094,BRD4
MOL007094,PTGS1
MOL007094,PTGS2
MOL007094,KCNA3
MOL007094,CCKBR
MOL007094,ALKBH3
MOL007094,PDGFRB
MOL007094,EGFR
MOL007094,KDR
MOL007094,GABRB3
MOL007094,GRM5
MOL007094,ALOX15
MOL007094,CYP51A1
MOL007094,SLC6A3
MOL007094,PDE3A
MOL007094,PDE4B
MOL007094,FLT1
MOL007094,CCND1
MOL007094,CDK1
MOL007094,CDK2
MOL007094,VDR
MOL007094,IMPDH2
MOL007094,GSK3B
MOL007094,SRC
MOL007094,CTSK
MOL007094,GSK3A
MOL007094,KNG1
MOL007094,MAPK1
MOL007094,LTA4H
MOL007094,CREBBP
MOL007094,GCGR
MOL007094,HIF1A
MOL007094,MTNR1A
MOL007094,MTNR1B
MOL007094,NQO2
MOL007094,CNR1
MOL007094,KCNH2
MOL007094,CNR2
MOL007094,HCRTR2
MOL007094,MDM2
MOL007094,HCRTR1
MOL007094,SLC6A2
MOL007094,KCNK3
MOL007094,KCNK9
MOL007094,CHRM1
MOL007094,MAPK8
MOL007094,HSD11B1
MOL007108,AKR1B1
MOL007108,IDO1
MOL007108,P2RX7
MOL007108,SIRT2
MOL007108,CNR2
MOL007108,FAAH
MOL007108,PREP
MOL007108,PSMB5
MOL007108,SLC6A3
MOL007108,HSD11B1
MOL007108,S1PR3
MOL007108,ABCG2
MOL007108,PTGS1
MOL007108,PTGS2
MOL007108,FAP
MOL007108,EPHX2
MOL007108,CTSK
MOL007108,PARP1
MOL007108,PGR
MOL007108,GRM5
MOL007115,HMOX1
MOL007115,KCNK2
MOL007115,PGR
MOL007115,ADORA1
MOL007115,ADORA2A
MOL007115,FADS1
MOL007115,RIPK2
MOL007115,BRD4
MOL007115,PTGS1
MOL007115,PTGS2
MOL007115,KCNA3
MOL007115,CCKBR
MOL007115,ALKBH3
MOL007115,PDGFRB
MOL007115,EGFR
MOL007115,KDR
MOL007115,GABRB3
MOL007115,GRM5
MOL007115,ALOX15
MOL007115,CYP51A1
MOL007115,SLC6A3
MOL007115,PDE3A
MOL007115,PDE4B
MOL007115,FLT1
MOL007115,CCND1
MOL007115,CDK1
MOL007115,CDK2
MOL007115,VDR
MOL007115,IMPDH2
MOL007115,GSK3B
MOL007115,SRC
MOL007115,CTSK
MOL007115,GSK3A
MOL007115,KNG1
MOL007115,MAPK1
MOL007115,LTA4H
MOL007115,CREBBP
MOL007115,GCGR
MOL007115,HIF1A
MOL007115,MTNR1A
MOL007115,MTNR1B
MOL007115,NQO2
MOL007115,CNR1
MOL007115,KCNH2
