"Mol_ID","Gene_symbol","Data_base"
"MOL000497","CCND1","CTD"
"MOL000497","CASP3","CTD"
"MOL000497","CYP2C9","CTD"
"MOL000497","CYP2D6","CTD"
"MOL000497","UGT2B7","CTD"
"MOL000497","CYP3A4","CTD"
"MOL000497","CCN1","CTD"
"MOL000497","TNFRSF25","CTD"
"MOL000497","UGT1A1","CTD"
"MOL000497","UGT1A10","CTD"
"MOL000497","CDK1","CTD"
"MOL000497","RPS6KB1","CTD"
"MOL000497","BIRC5","CTD"
"MOL000497","CASP10","CTD"
"MOL000497","STK4","CTD"
"MOL000497","MAP2K4","CTD"
"MOL000497","UGT2B4","CTD"
"MOL000497","IFNG","CTD"
"MOL000497","WEE1","CTD"
"MOL000497","WWTR1","CTD"
"MOL000497","UGT1A4","CTD"
"MOL000497","CYP2C19","CTD"
"MOL000497","SLCO1B1","CTD"
"MOL000497","UGT1A3","CTD"
"MOL000497","UGT2B17","CTD"
"MOL000497","LATS1","CTD"
"MOL000497","UGT1A6","CTD"
"MOL000497","CYP2C8","CTD"
"MOL000497","UGT2B15","CTD"
"MOL000497","IL1B","CTD"
"MOL000497","CYP1B1","CTD"
"MOL000497","UGT1A9","CTD"
"MOL000497","CDKN1A","CTD"
"MOL000497","CYP1A2","CTD"
"MOL000497","UGT1A8","CTD"
"MOL000497","UGT1A7","CTD"
"MOL004841","MIR760","CTD"
"MOL004841","MIR7977","CTD"
"MOL004841","MIR874","CTD"
"MOL004841","MIR92A1","CTD"
"MOL004841","MIR7974","CTD"
"MOL004841","RNF103-CHMP3","CTD"
"MOL004841","H2BC17","CTD"
"MOL004841","H2BC18","CTD"
"MOL004841","H2BC8","CTD"
"MOL004841","H2BC9","CTD"
"MOL004841","H2BC6","CTD"
"MOL004841","H2BC7","CTD"
"MOL004841","ADAT3","CTD"
"MOL004841","H2BC4","CTD"
"MOL004841","MIR675","CTD"
"MOL004841","ADAP1","CTD"
"MOL004841","MIR451A","CTD"
"MOL004841","MIR4521","CTD"
"MOL004841","MIR4488","CTD"
"MOL004841","MIR4508","CTD"
"MOL004841","ALG9","CTD"
"MOL004841","ALKAL2","CTD"
"MOL004841","MIR484","CTD"
"MOL004841","H3C1","CTD"
"MOL004841","ADM","CTD"
"MOL004841","ADRA1D","CTD"
"MOL004841","ADGRG3","CTD"
"MOL004841","ADAMTS5","CTD"
"MOL004841","AFMID","CTD"
"MOL004841","AGL","CTD"
"MOL004841","ADRA2B","CTD"
"MOL004841","ADGRL2","CTD"
"MOL004841","ALDH1A1","CTD"
"MOL004841","H2BC11","CTD"
"MOL004841","H2BC12","CTD"
"MOL004841","ADRB2","CTD"
"MOL004841","MIR4449","CTD"
"MOL004841","MIR4454","CTD"
"MOL004841","ABCA1","CTD"
"MOL004841","H2BC14","CTD"
"MOL004841","ABCA8","CTD"
"MOL004841","ABCB4","CTD"
"MOL004841","ACHE","CTD"
"MOL004841","ABCA10","CTD"
"MOL004841","H2BC5","CTD"
"MOL004841","ACTN3","CTD"
"MOL004841","BCL2","CTD"
"MOL004841","BEX2","CTD"
"MOL004841","BICDL2","CTD"
"MOL004841","AURKC","CTD"
"MOL004841","AZU1","CTD"
"MOL004841","B3GNT4","CTD"
"MOL004841","B4GALNT3","CTD"
"MOL004841","BAG3","CTD"
"MOL004841","BAIAP2","CTD"
"MOL004841","BAIAP3","CTD"
"MOL004841","AKAP5","CTD"
"MOL004841","AKR1B10","CTD"
"MOL004841","BBC3","CTD"
"MOL004841","BTN3A1","CTD"
"MOL004841","C10ORF95","CTD"
"MOL004841","C11ORF86","CTD"
"MOL004841","C13ORF46","CTD"
"MOL004841","C1QL3","CTD"
"MOL004841","C1QTNF4","CTD"
"MOL004841","C5AR2","CTD"
"MOL004841","CABP7","CTD"
"MOL004841","CACNA2D2","CTD"
"MOL004841","CACNB2","CTD"
"MOL004841","BAMBI","CTD"
"MOL004841","BAX","CTD"
"MOL004841","ACTA1","CTD"
"MOL004841","CASP14","CTD"
"MOL004841","CASP3","CTD"
"MOL004841","CASP8","CTD"
"MOL004841","CASS4","CTD"
"MOL004841","CATSPERG","CTD"
"MOL004841","CBARP","CTD"
"MOL004841","CBX4","CTD"
"MOL004841","CCDC13","CTD"
"MOL004841","CCDC148","CTD"
"MOL004841","CCDC194","CTD"
"MOL004841","CALB2","CTD"
"MOL004841","ACSBG1","CTD"
"MOL004841","CCDC9","CTD"
"MOL004841","CCM2L","CTD"
"MOL004841","CCN1","CTD"
"MOL004841","CCN2","CTD"
"MOL004841","CCNA2","CTD"
"MOL004841","BIK","CTD"
"MOL004841","BIRC5","CTD"
"MOL004841","BLVRB","CTD"
"MOL004841","BMPER","CTD"
"MOL004841","BPGM","CTD"
"MOL004841","BRMS1","CTD"
"MOL004841","CCDC68","CTD"
"MOL004841","CCDC74B","CTD"
"MOL004841","CDC25A","CTD"
"MOL004841","CDC25B","CTD"
"MOL004841","CDC34","CTD"
"MOL004841","CDC42EP2","CTD"
"MOL004841","CDH23","CTD"
"MOL004841","CDK1","CTD"
"MOL004841","CDK11A","CTD"
"MOL004841","CDK2","CTD"
"MOL004841","CDK2AP2","CTD"
"MOL004841","CDK5R1","CTD"
"MOL004841","CDK5R2","CTD"
"MOL004841","CDKN1A","CTD"
"MOL004841","CDKN1B","CTD"
"MOL004841","CARD9","CTD"
"MOL004841","CARF","CTD"
"MOL004841","MIR5100","CTD"
"MOL004841","MIR548U","CTD"
"MOL004841","MIR576","CTD"
"MOL004841","MIR615","CTD"
"MOL004841","MIR663A","CTD"
"MOL004841","MIR671","CTD"
"MOL004841","CFAP99","CTD"
"MOL004841","CFP","CTD"
"MOL004841","MIR7704","CTD"
"MOL004841","CHCHD7","CTD"
"MOL004841","CHEK2","CTD"
"MOL004841","CHRM3","CTD"
"MOL004841","CHRM4","CTD"
"MOL004841","MIR96","CTD"
"MOL004841","MIRLET7C","CTD"
"MOL004841","MIRLET7E","CTD"
"MOL004841","MKRN2OS","CTD"
"MOL004841","MN1","CTD"
"MOL004841","ALOX12","CTD"
"MOL004841","ALOXE3","CTD"
"MOL004841","ANG","CTD"
"MOL004841","ANKRD1","CTD"
"MOL004841","AP3B2","CTD"
"MOL004841","AP5Z1","CTD"
"MOL004841","APBB1","CTD"
"MOL004841","APOBR","CTD"
"MOL004841","APOE","CTD"
"MOL004841","ARC","CTD"
"MOL004841","ARHGEF33","CTD"
"MOL004841","ARL4C","CTD"
"MOL004841","ARL4D","CTD"
"MOL004841","ARL6IP4","CTD"
"MOL004841","ARNT2","CTD"
"MOL004841","ARPIN","CTD"
"MOL004841","ASIC4","CTD"
"MOL004841","ASNS","CTD"
"MOL004841","ATCAY","CTD"
"MOL004841","ATF3","CTD"
"MOL004841","CDKN1C","CTD"
"MOL004841","CDKN2D","CTD"
"MOL004841","ATP13A4","CTD"
"MOL004841","ATP1A3","CTD"
"MOL004841","ATP6V0C","CTD"
"MOL004841","ATP8","CTD"
"MOL004841","ATP9A","CTD"
"MOL004841","RHCE","CTD"
"MOL004841","RIBC2","CTD"
"MOL004841","RIPOR3","CTD"
"MOL004841","RND1","CTD"
"MOL004841","MAPK9","CTD"
"MOL004841","RNF150","CTD"
"MOL004841","RNF19B","CTD"
"MOL004841","RNF225","CTD"
"MOL004841","RNF227","CTD"
"MOL004841","RNF31","CTD"
"MOL004841","H3C10","CTD"
"MOL004841","H3C13","CTD"
"MOL004841","H3C7","CTD"
"MOL004841","H3C8","CTD"
"MOL004841","H4C1","CTD"
"MOL004841","H4C14","CTD"
"MOL004841","H4C3","CTD"
"MOL004841","H4C4","CTD"
"MOL004841","H4C5","CTD"
"MOL004841","BST1","CTD"
"MOL004841","BTBD8","CTD"
"MOL004841","BTG2","CTD"
"MOL004841","BTLA","CTD"
"MOL004841","HAS1","CTD"
"MOL004841","HAS3","CTD"
"MOL004841","HBA1","CTD"
"MOL004841","HBEGF","CTD"
"MOL004841","HERPUD1","CTD"
"MOL004841","HES6","CTD"
"MOL004841","HES7","CTD"
"MOL004841","HIC2","CTD"
"MOL004841","HIPK4","CTD"
"MOL004841","HMOX1","CTD"
"MOL004841","HOMER2","CTD"
"MOL004841","HOXC4","CTD"
"MOL004841","HPX","CTD"
"MOL004841","HSPA1A","CTD"
"MOL004841","HSPA1B","CTD"
"MOL004841","HSPA1L","CTD"
"MOL004841","HSPA6","CTD"
"MOL004841","HSPA8","CTD"
"MOL004841","HSPB8","CTD"
"MOL004841","HSPB9","CTD"
"MOL004841","HSPH1","CTD"
"MOL004841","HUS1B","CTD"
"MOL004841","ID2","CTD"
"MOL004841","IER5","CTD"
"MOL004841","IER5L","CTD"
"MOL004841","IFI30","CTD"
"MOL004841","IFIH1","CTD"
"MOL004841","IGFL4","CTD"
